# FUNCTIONAL_TESTS.md — Fase 2: Pruebas Funcionales por Escenario de Usuario

**Proyecto:** Medibill (Medicapp)  
**Fecha:** 2026-03-10  
**Metodología:** Análisis estático del código fuente (server actions, componentes, middleware, tipos, tests existentes)  
**Nota:** Las pruebas se basan en lectura exhaustiva del código. Cuando no fue posible ejecutar en runtime, se documenta el hallazgo con archivo y línea exactos.

---

## 2.0 — Roles Identificados (Fase 0)

| Rol | Permisos Clave | Definición |
|-----|---------------|------------|
| **owner** | Todo incluido billing | `lib/permisos.ts` — PERMISOS_ROL |
| **admin** | Todo excepto billing | `lib/permisos.ts` |
| **doctor** | Clasificar IA, crear/aprobar facturas, responder glosas | `lib/permisos.ts` |
| **facturador** | Ver/crear facturas, enviar DIAN, importar sábana, responder glosas | `lib/permisos.ts` |
| **auditor** | Solo lectura + responder glosas | `lib/permisos.ts` |
| **platform_admin** | Panel admin global (métricas, orgs, suscripciones) | `middleware.ts:109-121`, `lib/platform-admin.ts` |
| **usuario no autenticado** | Solo login/registro, página de invitación | `middleware.ts:54-57` |

---

## 2.1 — Matriz de Escenarios

### MÓDULO 1: Autenticación y Onboarding

| # | Rol | Escenario | Precondiciones | Pasos | Resultado Esperado | Resultado Real (Código) | PASS/FAIL |
| 2.5 | doctor | Coherencia paciente pre-IA | Nota sobre embarazo, sexo=M | 1. Escribir nota con dx obstétrico 2. Paciente sexo=M | Alerta de incoherencia antes del análisis | `MedibillApp.tsx:29-40` — `detectarIncoherenciasPaciente()` con debounce 500ms, evaluado en `AlertaCoherenciaPaciente.tsx` | **PASS** |
| 2.6 | doctor | Anonimización de datos sensibles | Nota con nombre, cédula, email, teléfono | 1. Clasificar nota con PII | Datos sensibles anonimizados antes de enviar a Gemini | `clasificacion.ts` → `anonimizarTextoMedico()`, validado en `seguridad.test.ts` — elimina nombres, docs, emails, teléfonos, direcciones | **PASS** |
| 2.7 | doctor | RAG falla gracefully | RAG service unavailable | 1. Clasificar nota, servicio RAG caído | Continúa con texto sin augmentar, no crashea | `clasificacion.ts:42-48` — `catch (ragError) { devWarn("RAG extraction failed"); return textoParaIA; }` | **PASS** |
| 2.8 | doctor | Validación CUPS cruzada | Resultado IA con CUPS inválido | 1. Clasificar nota | CUPS inválidos corregidos o marcados | `clasificacion.ts:73-79` → `validarYCorregirCups()` + `validarCoherenciaAnatomica()` + `validarYCorregirCie10()` | **PASS** |

### MÓDULO 3: Gestión de Pacientes

| # | Rol | Escenario | Precondiciones | Pasos | Resultado Esperado | Resultado Real (Código) | PASS/FAIL |
|---|-----|-----------|----------------|-------|--------------------|-----------------------|-----------|
| 3.1 | doctor | Buscar paciente existente | Paciente en BD | 1. Escribir cédula en PatientForm 2. Blur/Enter | Autocompletado de campos (nombre, fecha nac, sexo, EPS, etc.) | `PatientForm.tsx:24-58` — `buscarPacientePorDocumento()` autocompleta todos los campos | **PASS** |
| 3.2 | doctor | Paciente nuevo | Cédula no existe en BD | 1. Escribir cédula nueva | Badge "Paciente nuevo" se muestra | `PatientForm.tsx:82-85` — `estadoPaciente === "nuevo"` badge | **PASS** |
| 3.3 | doctor | Upsert paciente al crear factura | Datos paciente + crear factura | 1. Crear factura borrador | Paciente creado/actualizado con upsert | `facturas.ts:66-86` — `supabase.from("pacientes").upsert()` con `onConflict: "user_id,tipo_documento,numero_documento"` | **PASS** |
| 3.4 | doctor | Listar pacientes con búsqueda | Varios pacientes guardados | 1. Ir a /pacientes 2. Buscar por nombre | Lista filtrada, paginada | `pacientes.ts:82-111` — Search por `primer_nombre`, `primer_apellido`, `numero_documento` con ilike. Paginación range(). | **PASS** |
| 3.5 | doctor | Aislamiento de datos pacientes | 2 usuarios diferentes | 1. Doctor A lista pacientes | Solo ve pacientes propios (user_id) | `pacientes.ts:94` — `.eq("user_id", user.id)` + RLS en BD | **PASS** |
| 3.6 | doctor | Pacientes lista vacía | Sin pacientes | 1. Ir a /pacientes | "No se encontraron pacientes" | `pacientes/page.tsx:103` — empty state row en tabla | **PASS** |
| 3.7 | doctor | Cédula < 5 caracteres | Input corto | 1. Escribir "123" y blur | No busca, estado idle | `PatientForm.tsx:25` — `if (datos.cedulaPaciente.trim().length < 5) return` | **PASS** |

### MÓDULO 4: Facturas (CRUD + Estado Machine)

| # | Rol | Escenario | Precondiciones | Pasos | Resultado Esperado | Resultado Real (Código) | PASS/FAIL |
|---|-----|-----------|----------------|-------|--------------------|-----------------------|-----------|
| 4.1 | doctor | Crear factura borrador | Análisis completado | 1. Click "Crear Factura" en PanelAprobacion | Factura creada con num temporal BORR-xxxx, snapshot perfil, paciente upserted | `facturas.ts:48-142` — Número temporal `BORR-{Date.now().toString(36)}`, no consume consecutivo | **PASS** |
| 4.2 | doctor | Validar campos obligatorios al crear | Campos faltantes | 1. Crear factura sin documento, nombre, fecha nac, sexo, EPS, o municipio | Error con lista de campos faltantes | `PanelAprobacion.tsx:41-51` — Valida 6 campos, muestra lista con bullet points | **PASS** |
| 4.3 | doctor | Verificar resolución antes de crear | Sin resolución activa | 1. Crear factura sin resolución | Muestra alerta "sin resolución" | `PanelAprobacion.tsx:55-59` — `obtenerResolucionActiva()`, si null → `setSinResolucion(true)` | **PASS** |
| 4.4 | doctor | Aprobar factura (borrador→aprobada) | Factura borrador existente | 1. Click "Aprobar" 2. Confirmar | Consecutivo real asignado atómicamente, estado=aprobada | `facturas.ts:148-190` — Usa RPC `siguiente_numero_factura` (atómico con row lock) + `verificarLimite('factura_dian')` | **PASS** |
| 4.5 | doctor | Aprobar — confirmación previa | Factura borrador | 1. Click "Aprobar" | Dialog confirm("¿Aprobar esta factura?") | `facturas/[id]/page.tsx:51` — `if (!confirm("¿Aprobar esta factura?...")) return;` | **PASS** |
| 4.6 | doctor | Anular factura borrador | Factura en estado borrador | 1. Click "Anular" 2. Confirmar | Estado = anulada, audit log registrado | `facturas.ts:195-207` — Solo permite anular borradores (`.eq("estado", "borrador")`) | **PASS** |
| 4.7 | doctor | Anular factura NO borrador | Factura aprobada | 1. Intentar anular factura aprobada | Falla silenciosamente (no match en update) | `facturas.ts:201` — Query incluye `.eq("estado", "borrador")`, DB retorna 0 rows updated → `error` es null pero no se controla 0 rows | **⚠️ FAIL** |
| 4.8 | facturador | Crear factura sin permiso aprobar | Rol facturador | 1. Crear factura borrador 2. Intentar aprobar | Factura creada OK, aprobación debería fallar | `permisos.ts:14` — `aprobar_factura: ["owner","admin","doctor"]`. **PERO:** `aprobarFactura()` NO verifica `verificarPermisoOError()` | **⚠️ CRITICAL FAIL** |
| 4.9 | doctor | Editar factura borrador | Factura borrador | 1. Click editar 2. Modificar diagnósticos, procedimientos, copago 3. Guardar | Datos actualizados, totales recalculados | `FacturaEditor.tsx` — Edición completa con recálculo de subtotales. `editarFacturaBorrador()` hace merge de metadata | **PASS** |
| 4.10 | doctor | Listar facturas con tabs/paginación | Facturas existentes | 1. Ir a /facturas 2. Filtrar por tab (borrador, aprobada, etc.) | Lista filtrada, paginada a 20/página | `facturas.ts:220-247` — Paginación con range(), filtro por estado | **PASS** |
| 4.11 | doctor | Lista facturas vacía | Sin facturas | 1. Ir a /facturas | "No se encontraron facturas" | `facturas/page.tsx:114` — Empty state en tabla | **PASS** |
| 4.12 | doctor | Marcar factura como descargada | Factura aprobada | 1. Descargar RIPS/paquete | Estado cambia a descargada | `facturas.ts:250-260` — Solo permite si estado=aprobada | **PASS** |
| 4.13 | doctor | Doble submit al aprobar | Click rápido 2x | 1. Click aprobar 2 veces rápidamente | Solo una aprobación, segunda falla | RPC `siguiente_numero_factura` es atómica pero la segunda ejecución del update factura tendrá `.eq("estado", "borrador")` que no matchea si ya se aprobó → **protegido por filtro de estado** | **PASS** |
| 4.14 | doctor | Aislamiento facturas por org | 2 organizaciones | 1. Listar facturas | Solo ve facturas de su organización | `facturas.ts:227` — `.eq("organizacion_id", orgId)` + RLS | **PASS** |

### MÓDULO 5: DIAN (Facturación Electrónica via Matias API)

| # | Rol | Escenario | Precondiciones | Pasos | Resultado Esperado | Resultado Real (Código) | PASS/FAIL |
|---|-----|-----------|----------------|-------|--------------------|-----------------------|-----------|
| 5.1 | facturador | Generar FEV XML | Factura aprobada | 1. Click "Generar FEV XML" | XML UBL 2.1 generado, descargado como archivo | `DianPanel.tsx:26-43` — Llama `generarFevXml()`, crea blob XML, descarga con nombre `FEV_{num}_{cufe}.xml` | **PASS** |
| 5.2 | facturador | Enviar a DIAN | Factura aprobada/descargada | 1. Click "Enviar a DIAN" 2. Confirmar | Factura enviada, CUFE almacenado, estado_dian=enviada | `dian.ts:20-80` — Valida estado, mapea a Matias JSON, envía, guarda respuesta en BD | **PASS** |
| 5.3 | facturador | Enviar factura ya enviada | estado_dian=enviada | 1. Intentar enviar de nuevo | Error: "La factura ya fue enviada a la DIAN" | `dian.ts:41-42` — Verifica `estado_dian !== "enviada" && !== "aceptada"` | **PASS** |
| 5.4 | facturador | Enviar factura borrador a DIAN | Factura borrador | 1. Intentar enviar | Error: "debe estar aprobada" | `dian.ts:37-39` — Verifica estado `aprobada` o `descargada` | **PASS** |
| 5.5 | facturador | Consultar estado DIAN | Factura con CUFE | 1. Click "Consultar estado" | Estado actualizado desde Matias API | `dian.ts` — `consultarEstadoDian()` actualiza `estado_dian` | **PASS** |
| 5.6 | facturador | Matias API caído | Factura lista | 1. Enviar a DIAN, API no responde | Error de conexión capturado, mostrado al usuario | `dian.ts:72-75` — `catch (err) { return { success: false, error: message } }` | **PASS** |
| 5.7 | facturador | Confirmación antes de enviar a DIAN | Factura aprobada | 1. Click enviar | Confirm dialog antes de enviar | `DianPanel.tsx:51` — `if (!confirm("¿Enviar esta factura a la DIAN?")) return;` | **PASS** |
| 5.8 | facturador | Descargar XML firmado | Factura con CUFE | 1. Click descargar XML firmado | Archivo XML firmado descargado | `DianPanel.tsx:90-110` — Llama `descargarXmlFirmado()`, crea blob y descarga | **PASS** |
| 5.9 | facturador | Descargar PDF representación | Factura aprobada+ | 1. Click "Descargar PDF" | PDF abierto en nueva pestaña | `DianPanel.tsx:22` — `window.open(\`/api/factura-pdf/${factura.id}\`, "_blank")` | **PASS** |

### MÓDULO 6: MUV (Validación MinSalud)

| # | Rol | Escenario | Precondiciones | Pasos | Resultado Esperado | Resultado Real (Código) | PASS/FAIL |
|---|-----|-----------|----------------|-------|--------------------|-----------------------|-----------|
| 6.1 | doctor | Validar RIPS con MUV | Factura aceptada por DIAN | 1. Click "Validar MUV" 2. Confirmar | CUV obtenido y almacenado | `muv.ts:27-70` — Valida prerequisitos (estado_dian=aceptada, CUFE existe), verifica healthCheck Docker | **PASS** |
| 6.2 | doctor | MUV sin CUFE | Sin envío DIAN previo | 1. Intentar validar MUV | Error: "debe estar aceptada por la DIAN" | `muv.ts:50-53` — Verifica `estado_dian !== "aceptada"` | **PASS** |
| 6.3 | doctor | MUV ya tiene CUV | Factura con CUV existente | 1. Intentar validar | Error: "ya tiene CUV asignado" | `muv.ts:58-61` — Verifica `factura.cuv` no null | **PASS** |
| 6.4 | doctor | Docker MUV no disponible | Docker apagado | 1. Intentar validar | Error: "servicio MUV no está disponible" | `muv.ts:64-67` — `muvClient.healthCheck()` → false | **PASS** |
| 6.5 | doctor | Confirmación antes de MUV | Factura lista | 1. Click validar | Confirm dialog | `MuvPanel.tsx:19` — `if (!confirm("¿Validar RIPS...?")) return;` | **PASS** |

### MÓDULO 7: Radicación

| # | Rol | Escenario | Precondiciones | Pasos | Resultado Esperado | Resultado Real (Código) | PASS/FAIL |
|---|-----|-----------|----------------|-------|--------------------|-----------------------|-----------|
| 7.1 | doctor | Descargar paquete radicación | Factura aprobada o descargada | 1. Click "Descargar paquete" | ZIP con XML, RIPS JSON, PDF y manifest descargado | `RadicacionPanel.tsx:34-54` — Genera ZIP base64, descarga, auto-marca como descargada | **PASS** |
| 7.2 | doctor | Confirmar radicación manual | Factura descargada | 1. Ingresar número radicado 2. Confirmar | Estado cambia a radicada, metadata actualizada | `radicacion.ts:41-85` — Valida estado=descargada, requiere número radicado no vacío | **PASS** |
| 7.3 | doctor | Radicar sin número radicado | Campo vacío | 1. Click confirmar sin número | Error: "El número de radicado es obligatorio" | `radicacion.ts:42-44` — `if (!numeroRadicado \|\| trim().length === 0)` | **PASS** |
| 7.4 | doctor | Radicar factura no descargada | Factura borrador/aprobada | 1. Intentar radicar | Error: "Solo se puede radicar una factura descargada" | `radicacion.ts:71-75` — `if (factura.estado !== "descargada")` | **PASS** |
| 7.5 | doctor | Radicar por email | Acuerdo con email_radicacion configurado | 1. Click "Enviar por email" 2. Confirmar | Paquete enviado por email a la EPS | `RadicacionPanel.tsx:84-108` — `radicarPorEmail()`, confirm antes de enviar | **PASS** |

### MÓDULO 8: Glosas y Respuestas

| # | Rol | Escenario | Precondiciones | Pasos | Resultado Esperado | Resultado Real (Código) | PASS/FAIL |
|---|-----|-----------|----------------|-------|--------------------|-----------------------|-----------|
| 8.1 | doctor | Listar glosas recibidas | Glosas en BD | 1. Ir a /glosas | Lista con urgencia, días restantes, % glosado | `respuesta-glosas.ts:52-87` — Auto-vencimiento + enriquecimiento con días y urgencia | **PASS** |
| 8.2 | doctor | Auto-vencimiento de glosas | Glosa con fecha límite pasada | 1. Consultar glosas | Glosas vencidas marcadas automáticamente como 'vencida' | `respuesta-glosas.ts:60-63` — `UPDATE estado='vencida' WHERE fecha_limite < hoy AND estado='pendiente'` | **PASS** |
| 8.3 | doctor | Registrar respuesta RS01 (aceptar) | Glosa pendiente en plazo | 1. Seleccionar RS01 2. Justificación 3. Guardar | Respuesta guardada, glosa marcada respondida | `respuesta-glosas.ts:143-end` — Valida estado=pendiente, fecha no vencida, justificación ≥20 chars | **PASS** |
| 8.4 | doctor | Responder glosa vencida | Glosa con días_restantes < 0 | 1. Intentar responder | Error: "fecha límite ya venció. Silencio = aceptación tácita" | `respuesta-glosas.ts:174-178` | **PASS** |
| 8.5 | doctor | Respuesta RS04 a glosa NO extemporánea | Glosa normal | 1. Intentar RS04 | Error: "Solo aplicable si la glosa fue extemporánea" | `respuesta-glosas.ts` — Valida `esGlosaExtemporanea()` para RS04 | **PASS** |
| 8.6 | doctor | Justificación <20 chars | Respuesta con texto corto | 1. Escribir justificación de 10 chars | Error: justificación mínima requerida | `respuesta-glosas.ts:186-190` — `justificacion.trim().length < 20` check | **PASS** |
| 8.7 | doctor | Sugerencia IA para respuesta | Glosa con datos suficientes | 1. Click "Sugerir respuesta IA" | Sugerencia generada con código RS y justificación | `respuesta-glosas.ts` — `sugerirRespuestaIA()` usa Gemini | **PASS** |
| 8.8 | auditor | Responder glosa como auditor | Rol auditor | 1. Responder glosa | Debería funcionar (auditor en permisos) | `permisos.ts:18` — `responder_glosa: [..., "auditor"]` | **PASS** |
| 8.9 | doctor | Registrar glosa nueva (manual) | Factura radicada | 1. Click "Registrar glosa" 2. Llenar datos | Glosa creada asociada a factura | `ModalRegistrarGlosa.tsx` — Formulario con selector de facturas radicadas | **PASS** |

### MÓDULO 9: Pagos y Cartera

| # | Rol | Escenario | Precondiciones | Pasos | Resultado Esperado | Resultado Real (Código) | PASS/FAIL |
|---|-----|-----------|----------------|-------|--------------------|-----------------------|-----------|
| 9.1 | doctor | Registrar pago | Factura radicada | 1. Ingresar monto, fecha, método 2. Guardar | Pago registrado, estado actualizado (pagada/pagada_parcial) | `pagos.ts:62-138` — Valida estado radicada/pagada_parcial, monto ≤ saldo | **PASS** |
| 9.2 | doctor | Pago excede saldo | Monto > saldo pendiente | 1. Registrar pago por encima del saldo | Error: "monto excede el saldo pendiente" | `pagos.ts:100-104` — `if (input.monto > saldoPendiente)` | **PASS** |
| 9.3 | doctor | Pago en factura que no es radicada | Factura borrador/aprobada | 1. Registrar pago | Error: "No se puede registrar pago en factura con estado X" | `pagos.ts:87-92` — `if (!["radicada", "pagada_parcial"].includes(factura.estado))` | **PASS** |
| 9.4 | doctor | Pago total → estado pagada | Factura con saldo restante = monto | 1. Pagar monto exacto restante | Estado cambia a "pagada" | `pagos.ts:128-132` — `if (nuevoTotalPagado >= factura.valor_total) nuevoEstado = "pagada"` | **PASS** |
| 9.5 | doctor | Cartera pendiente vacía | Sin facturas pendientes | 1. Ir a /pagos | "No hay facturas pendientes de pago" | `pagos/page.tsx:208` — Empty state | **PASS** |

### MÓDULO 10: Acuerdos de Voluntades

| # | Rol | Escenario | Precondiciones | Pasos | Resultado Esperado | Resultado Real (Código) | PASS/FAIL |
|---|-----|-----------|----------------|-------|--------------------|-----------------------|-----------|
| 10.1 | owner | Crear acuerdo | — | 1. Llenar EPS, fechas, tarifario, % sobre base 2. Guardar | Acuerdo creado, audit log | `acuerdos.ts:63-96` — Insert con `prestador_id: user.id`, audit log para create y update | **PASS** |
| 10.2 | owner | Actualizar acuerdo | Acuerdo existente | 1. Editar campos 2. Guardar | Acuerdo actualizado | `acuerdos.ts:80-86` — Update con `.eq("prestador_id", user.id)` | **PASS** |
| 10.3 | owner | Eliminar acuerdo | Acuerdo existente | 1. Click eliminar 2. Confirmar | Acuerdo eliminado con cascada tarifas | `ConfiguracionAcuerdo.tsx:294` — `confirm("¿Eliminar este acuerdo y todas sus tarifas?")` — **Hard delete** | **⚠️ WARNING** |
| 10.4 | doctor | Gestionar acuerdos sin permiso | Rol doctor | 1. Intentar gestionar acuerdos | Debería estar bloqueado | `permisos.ts:21` — `gestionar_acuerdos: ["owner","admin"]`. **PERO:** `guardarAcuerdo()` NO verifica RBAC | **⚠️ FAIL** |
| 10.5 | owner | Aislamiento acuerdos | 2 usuarios | 1. Listar acuerdos | Solo ve propios (prestador_id) | `acuerdos.ts:16` — `.eq("prestador_id", user.id)` | **PASS** |

### MÓDULO 11: Tarifas Personalizadas

| # | Rol | Escenario | Precondiciones | Pasos | Resultado Esperado | Resultado Real (Código) | PASS/FAIL |
|---|-----|-----------|----------------|-------|--------------------|-----------------------|-----------|
| 11.1 | doctor | Guardar tarifa CUPS | — | 1. Buscar CUPS 2. Ingresar valor 3. Guardar | Tarifa guardada en servicios_medico | `tarifas.ts:9-27` — Insert con user_id, validación de auth | **PASS** |
| 11.2 | doctor | Eliminar tarifa | Tarifa existente | 1. Click eliminar | Tarifa eliminada | `tarifas.ts:50-60` — **Hard delete** con `.eq("user_id", user.id)` — Sin confirmación en backend | **⚠️ WARNING** |
| 11.3 | doctor | Buscar CUPS para tarifa | — | 1. Escribir nombre procedimiento | Resultados CUPS filtrados (máx 10) | `tarifas.ts:63-72` — `supabase.rpc("buscar_cups", {termino, limite:10})` | **PASS** |
| 11.4 | doctor | Aislamiento tarifas | 2 usuarios | 1. Listar tarifas | Solo propias | `tarifas.ts:38` — `.eq("user_id", user.id)` | **PASS** |

### MÓDULO 12: Dashboard

| # | Rol | Escenario | Precondiciones | Pasos | Resultado Esperado | Resultado Real (Código) | PASS/FAIL |
|---|-----|-----------|----------------|-------|--------------------|-----------------------|-----------|
| 12.1 | doctor | KPIs del dashboard | Facturas existentes | 1. Ir a /dashboard | Facturas mes, valor facturado, pendientes, glosas activas, tasa recuperación, cartera | `dashboard.ts:10-56` — 4 queries paralelas: facturas mes, pendientes, glosas activas, respuestas | **PASS** |
| 12.2 | doctor | Dashboard sin datos | Usuario nuevo | 1. Ir a /dashboard | Todos KPIs en 0 | `dashboard.ts:12` — Defaults a 0 para user null y vacío | **PASS** |
| 12.3 | doctor | Facturación mensual | Facturas últimos 6 meses | 1. Ver gráfico | Barras por mes con cantidad y valor | `dashboard.ts:60-100` — Agrupa por mes, labels correctos | **PASS** |
| 12.4 | doctor | Formato moneda COP | Valores monetarios | 1. Ver dashboard | Valores formateados en COP | `lib/formato.ts` — `formatCOP()` con Intl.NumberFormat es-CO | **PASS** |

### MÓDULO 13: Conciliación de Sábanas EPS

| # | Rol | Escenario | Precondiciones | Pasos | Resultado Esperado | Resultado Real (Código) | PASS/FAIL |
|---|-----|-----------|----------------|-------|--------------------|-----------------------|-----------|
| 13.1 | facturador | Subir sábana | Plan con feature importacion_sabana | 1. Subir archivo Excel 2. Parsear | Headers y muestra de datos mostrados | `conciliacion.ts:30-74` — Feature gate, validación tamaño (5MB), extensión (xlsx/xls/csv) | **PASS** |
| 13.2 | facturador | Archivo >5MB | Archivo grande | 1. Subir archivo > 5MB | Error: "excede el tamaño máximo de 5MB" | `conciliacion.ts:53-56` — `if (file.size > 5 * 1024 * 1024)` | **PASS** |
| 13.3 | facturador | Formato no soportado | Archivo .pdf | 1. Subir PDF | Error: "Formato no soportado" | `conciliacion.ts:59-63` — Solo xlsx, xls, csv | **PASS** |
| 13.4 | facturador | Feature gate sin plan | Plan sin importacion_sabana | 1. Subir sábana | Error: "Tu plan no incluye importación de sábana" | `conciliacion.ts:47-49` — `tieneFeature()` check | **PASS** |
| 13.5 | facturador | Mapear y conciliar | Sábana parseada | 1. Mapear columnas con IA 2. Conciliar vs facturas | Filas matcheadas con facturas existentes | `conciliacion.ts:80+` — IA mapea columnas, `conciliarConFacturas()` cruza datos | **PASS** |

### MÓDULO 14: Equipo y Organizaciones

| # | Rol | Escenario | Precondiciones | Pasos | Resultado Esperado | Resultado Real (Código) | PASS/FAIL |
|---|-----|-----------|----------------|-------|--------------------|-----------------------|-----------|
| 14.1 | owner | Invitar usuario | Plan con múltiples usuarios | 1. Ingresar email y rol 2. Enviar invitación | Invitación creada con token, email enviado | `equipo.ts:47-100` — Verifica límite usuarios, verifica no duplicado, genera token con `randomBytes` | **PASS** |
| 14.2 | owner | Invitación duplicada | Invitación pendiente para email | 1. Invitar mismo email | Error: "Ya existe una invitación pendiente" | `equipo.ts:81-86` — Query existente con email+org+usado=false | **PASS** |
| 14.3 | owner | Límite de usuarios | Plan con max_usuarios alcanzado | 1. Invitar nuevo usuario | Error: "Has alcanzado el límite de N usuarios de tu plan" | `equipo.ts:66-74` — Compara count con max_usuarios | **PASS** |
| 14.4 | admin | Cambiar rol miembro | Miembro existente | 1. Seleccionar nuevo rol | Rol actualizado | `equipo.ts` — `cambiarRolMiembro()` | **PASS** |
| 14.5 | admin | Desactivar miembro | Miembro activo | 1. Click desactivar 2. Confirmar | Miembro con activo=false (soft delete) | `equipo.ts:197` — `.update({ activo: false })` — Confirmación en `equipo/page.tsx:87` | **PASS** |
| 14.6 | doctor | Gestionar equipo sin permiso | Rol doctor | 1. Intentar invitar | Error RBAC | `equipo.ts:48` — `verificarPermisoOError(ctx.rol, "gestionar_equipo")` — **Verifica correctamente** | **PASS** |
